Date,Championship_Title,Team_A,Team_B,Time,Team_A_Score,Team_B_Score,Match_Status,Chanel_Streaming,Match_Detail_Link,Match_Week_Number
2023-03-04,الدوري الإسباني,اتلتيكو مدريد,اشبيلية ,22:00,6,1,انتهت,بى ان سبورت 1HD,https://www.yallakora.com/la-liga/2764/match/87053/%d8%a7%d8%aa%d9%84%d8%aa%d9%8a%d9%83%d9%88-%d9%85%d8%af%d8%b1%d9%8a%d8%af-%d8%a7%d8%b4%d8%a8%d9%8a%d9%84%d9%8a%d8%a9--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الرابع والعشرون
2023-03-04,الدوري الإيطالي,مونزا,إمبولي,16:00,2,1,انتهت,Starz Play App,https://www.yallakora.com/serie-a/2765/match/87133/%d9%85%d9%88%d9%86%d8%b2%d8%a7-%d8%a5%d9%85%d8%a8%d9%88%d9%84%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails,الأسبوع الخامس والعشرون
2023-03-04,الدوري الإيطالي,أتالانتا,أودينيزي,19:00,0,0,انتهت,Starz Play App,https://www.yallakora.com/serie-a/2765/match/87134/%d8%a3%d8%aa%d8%a7%d9%84%d8%a7%d9%86%d8%aa%d8%a7-%d8%a3%d9%88%d8%af%d9%8a%d9%86%d9%8a%d8%b2%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails,الأسبوع الخامس والعشرون
2023-03-04,الدوري الإيطالي,فيورنتينا,ميلان,21:45,2,1,انتهت,Starz Play App,https://www.yallakora.com/serie-a/2765/match/87135/%d9%81%d9%8a%d9%88%d8%b1%d9%86%d8%aa%d9%8a%d9%86%d8%a7-%d9%85%d9%8a%d9%84%d8%a7%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails,الأسبوع الخامس والعشرون
2023-03-04,الدوري الألماني,ماينز,هوفنهايم,16:30,1,0,انتهت,,https://www.yallakora.com/bundesliga/2769/match/87096/%d9%85%d8%a7%d9%8a%d9%86%d8%b2-%d9%87%d9%88%d9%81%d9%86%d9%87%d8%a7%d9%8a%d9%85-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري الألماني,مونشنجلادباخ,فرايبورج,16:30,0,0,انتهت,بى ان سبورت 6 HD,https://www.yallakora.com/bundesliga/2769/match/87097/%d9%85%d9%88%d9%86%d8%b4%d9%86%d8%ac%d9%84%d8%a7%d8%af%d8%a8%d8%a7%d8%ae-%d9%81%d8%b1%d8%a7%d9%8a%d8%a8%d9%88%d8%b1%d8%ac-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري الألماني,يونيون برلين,كولن,16:30,0,0,انتهت,بى ان سبورت 3 HD,https://www.yallakora.com/bundesliga/2769/match/87098/%d9%8a%d9%88%d9%86%d9%8a%d9%88%d9%86-%d8%a8%d8%b1%d9%84%d9%8a%d9%86-%d9%83%d9%88%d9%84%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري الألماني,بوخوم,شالكه,16:30,0,2,انتهت,,https://www.yallakora.com/bundesliga/2769/match/87099/%d8%a8%d9%88%d8%ae%d9%88%d9%85-%d8%b4%d8%a7%d9%84%d9%83%d9%87-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري الألماني,أوجسبورج,فيردر بريمن,16:30,2,1,انتهت,بى ان سبورت 7 HD,https://www.yallakora.com/bundesliga/2769/match/87100/%d8%a3%d9%88%d8%ac%d8%b3%d8%a8%d9%88%d8%b1%d8%ac-%d9%81%d9%8a%d8%b1%d8%af%d8%b1-%d8%a8%d8%b1%d9%8a%d9%85%d9%86-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
2023-03-04,الدوري الألماني,شتوتجارت,بايرن ميونيخ,19:30,1,2,انتهت,بى ان سبورت بريميوم 1,https://www.yallakora.com/bundesliga/2769/match/87101/%d8%b4%d8%aa%d9%88%d8%aa%d8%ac%d8%a7%d8%b1%d8%aa-%d8%a8%d8%a7%d9%8a%d8%b1%d9%86-%d9%85%d9%8a%d9%88%d9%86%d9%8a%d8%ae-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الثالث والعشرون
